match_type,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,umpire1,umpire2,batting_avg,runs,bowling_avg,wickets
League,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,152.0,20.0,BNJ Oxenford,UV Gandhe,24.28,4978.0,0.0,0.0
League,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,179.0,20.0,CK Nandan,YC Barde,30.46,6244.0,18.0,4.0
League,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,188.0,20.0,A Nand Kishore,Nitin Menon,34.96,2832.0,0.0,0.0
League,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,8.0,174.0,20.0,S Ravi,UV Gandhe,30.48,5181.0,0.0,0.0
League,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,162.0,20.0,CK Nandan,RJ Tucker,0.56,33.0,21.09,82.0
League,Rajiv Gandhi International Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,runs,39.0,156.0,20.0,AK Chaudhary,BNJ Oxenford,2.25,18.0,26.56,9.0
League,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5.0,172.0,20.0,M Erasmus,Nitin Menon,0.72,88.0,20.51,170.0
League,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,runs,12.0,183.0,20.0,AK Chaudhary,VA Kulkarni,3.57,647.0,29.27,157.0
League,Rajiv Gandhi International Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,wickets,6.0,133.0,20.0,IJ Gould,UV Gandhe,36.31,5883.0,20000.0,0.0
League,Arun Jaitley Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,40.0,169.0,20.0,BNJ Oxenford,NJ Llong,18.78,1972.0,31.32,50.0
League,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,runs,10.0,214.0,20.0,IJ Gould,Nitin Menon,30.71,6634.0,92.75,4.0
League,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,162.0,20.0,S Ravi,YC Barde,26.83,2495.0,50000.0,0.0
